Feature	DNAPrevalence	RNAPrevalence	ProteinPrevalence	EC	Description	MinimumPrevalence	Selected
1.17.1.8: 4-hydroxy-tetrahydrodipicolinate reductase	0.9946236559139785	0.989247311827957	0.05913978494623656	1.17.1.8	4-hydroxy-tetrahydrodipicolinate reductase	0.05913978494623656	False
1.17.4.1: Ribonucleoside-diphosphate reductase	0.989247311827957	0.9838709677419355	0.03225806451612903	1.17.4.1	Ribonucleoside-diphosphate reductase	0.03225806451612903	False
1.17.4.2: Ribonucleoside-triphosphate reductase	0.989247311827957	0.8064516129032258	0.08064516129032258	1.17.4.2	Ribonucleoside-triphosphate reductase	0.08064516129032258	False
1.17.7.3: (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (flavodoxin)	0.9946236559139785	0.9946236559139785	0.17204301075268819	1.17.7.3	(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (flavodoxin)	0.17204301075268819	True
1.17.98.1: Bile-acid 7-alpha-dehydroxylase	0.06989247311827956	0.04838709677419355	0.005376344086021506	1.17.98.1	Bile-acid 7-alpha-dehydroxylase	0.005376344086021506	False
1.17.99.5: Transferred entry: 1.17.98.1	0.3387096774193548	0.12903225806451613	0.005376344086021506	1.17.99.5	Transferred entry: 1.17.98.1	0.005376344086021506	False
1.18.1.2: Ferredoxin--NADP(+) reductase	0.989247311827957	0.956989247311828	0.043010752688172046	1.18.1.2	Ferredoxin--NADP(+) reductase	0.043010752688172046	False
1.2.1.10: Acetaldehyde dehydrogenase (acetylating)	0.946236559139785	0.6344086021505376	0.010752688172043012	1.2.1.10	Acetaldehyde dehydrogenase (acetylating)	0.010752688172043012	False
1.2.1.11: Aspartate-semialdehyde dehydrogenase	0.9946236559139785	0.9946236559139785	0.5698924731182796	1.2.1.11	Aspartate-semialdehyde dehydrogenase	0.5698924731182796	True
1.2.1.12: Glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)	0.9623655913978495	0.9946236559139785	0.9516129032258065	1.2.1.12	Glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)	0.9516129032258065	True
1.2.1.19: Aminobutyraldehyde dehydrogenase	0.41397849462365593	0.0913978494623656	0.0	1.2.1.19	Aminobutyraldehyde dehydrogenase	0.0	False
1.2.1.21: Glycolaldehyde dehydrogenase	0.5	0.15053763440860216	0.0	1.2.1.21	Glycolaldehyde dehydrogenase	0.0	False
1.2.1.22: Lactaldehyde dehydrogenase	0.6935483870967742	0.25806451612903225	0.0	1.2.1.22	Lactaldehyde dehydrogenase	0.0	False
1.2.1.27: Methylmalonate-semialdehyde dehydrogenase (CoA acylating)	0.21505376344086022	0.0	0.005376344086021506	1.2.1.27	Methylmalonate-semialdehyde dehydrogenase (CoA acylating)	0.0	False
1.2.1.2: Formate dehydrogenase	0.7634408602150538	0.6182795698924731	0.021505376344086023	1.2.1.2	Formate dehydrogenase	0.021505376344086023	False
1.2.1.38: N-acetyl-gamma-glutamyl-phosphate reductase	0.989247311827957	0.9838709677419355	0.21505376344086022	1.2.1.38	N-acetyl-gamma-glutamyl-phosphate reductase	0.21505376344086022	True
1.2.1.41: Glutamate-5-semialdehyde dehydrogenase	0.9946236559139785	0.989247311827957	0.043010752688172046	1.2.1.41	Glutamate-5-semialdehyde dehydrogenase	0.043010752688172046	False
1.2.1.50: Long-chain-fatty-acyl-CoA reductase	0.6505376344086021	0.07526881720430108	0.0	1.2.1.50	Long-chain-fatty-acyl-CoA reductase	0.0	False
1.2.1.70: Glutamyl-tRNA reductase	0.989247311827957	0.9623655913978495	0.0	1.2.1.70	Glutamyl-tRNA reductase	0.0	False
1.2.1.72: Erythrose-4-phosphate dehydrogenase	0.489247311827957	0.1989247311827957	0.0	1.2.1.72	Erythrose-4-phosphate dehydrogenase	0.0	False
