Feature	Species	Samples	NonzeroSamples	NonzeroPrevalence	SamplesAtOrAbove0.01Pct	PrevalenceAtOrAbove0.01Pct	MaximumRelativeAbundance
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified|g__Intestinimonas|s__Intestinimonas_butyriciproducens	Intestinimonas butyriciproducens	114	49	0.429824561403509	33	0.289473684210526	0.0115211
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella|s__Olsenella_scatoligenes	Olsenella scatoligenes	114	48	0.421052631578947	18	0.157894736842105	0.0156086
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaeromassilibacillus|s__Anaeromassilibacillus_sp_An250	Anaeromassilibacillus sp An250	114	48	0.421052631578947	31	0.271929824561404	0.0070106
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_sanguinis	Streptococcus sanguinis	114	48	0.421052631578947	27	0.236842105263158	0.00334
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_massiliensis	Bacteroides massiliensis	114	47	0.412280701754386	44	0.385964912280702	0.0759498
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_rogosae	Lactobacillus rogosae	114	47	0.412280701754386	34	0.298245614035088	0.0099103
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis|g__Clostridiales_Family_XIII_Incertae_Sedis_unclassified|s__Eubacterium_sulci	Eubacterium sulci	114	47	0.412280701754386	19	0.166666666666667	0.0010042
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Hungatella|s__Hungatella_hathewayi	Hungatella hathewayi	114	46	0.403508771929825	31	0.271929824561404	0.1376978
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelatoclostridium|s__Erysipelatoclostridium_ramosum	Erysipelatoclostridium ramosum	114	46	0.403508771929825	37	0.324561403508772	0.0281961
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__Paraprevotella_xylaniphila	Paraprevotella xylaniphila	114	45	0.394736842105263	44	0.385964912280702	0.0214029
