#mpa_vJan26_CHOCOPhlAnSGB_202605
#${BIOBAKERY_ENV_PREFIX}/bin/metaphlan ${PROJECT_ROOT}/data/raw/article13/ERR9765746_clean_R1.fastq.gz,${PROJECT_ROOT}/data/raw/article13/ERR9765746_clean_R2.fastq.gz --input_type fastq --db_dir ${METAPHLAN_DB_DIR} --index mpa_vJan26_CHOCOPhlAnSGB_202605 --offline --bowtie2_exe ${BIOBAKERY_ENV_PREFIX}/bin/bowtie2 --mapout ${WORK_DIR}/ERR9765746-full.mapout.bz2 --tmp_dir ${WORK_DIR}/tmp --nproc 8 --read_min_len 70 --perc_nonzero 0.33 --stat tavg_g --stat_q 0.2 -t rel_ab_w_read_stats --tax_lev a --sample_id ERR9765746_MOCK1 --output_file ${PROJECT_ROOT}/data/small/15-metaphlan-frozen/profile-all.tsv
#199929 reads processed
#SampleID	ERR9765746_MOCK1
#Estimated reads mapped to known clades: 261721
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria|p__Firmicutes|c__Bacillota_unclassified|o__Caldicellulosiruptorales|f__Caldicellulosiruptoraceae|g__Caldicellulosiruptor|s__Caldicellulosiruptor_changbaiensis	2|1239||3071001|3071002|44000|1222016	8.98371	0.004948053717287334	15860
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_oralis	2157|28890|183925|2158|2159|2172|66851	4.86134	0.002677530286493419	9272
k__Archaea|p__Methanobacteriota|c__Thermococci|o__Thermococcales|f__Thermococcaceae|g__Pyrococcus|s__Pyrococcus_horikoshii	2157|28890|183968|2258|2259|2260|53953	4.43493	0.0024426747770017027	5444
k__Bacteria|p__Gemmatimonadota|c__Gemmatimonadia|o__Gemmatimonadales|f__Gemmatimonadaceae|g__Gemmatimonas|s__Gemmatimonas_aurantiaca	2|142182|219685|219686|219687|173479|173480	4.37132	0.002407636902697987	13135
k__Bacteria|p__Aquificota|c__Aquificia|o__Aquificales|f__Hydrogenothermaceae|g__Persephonella|s__Persephonella_marina	2|200783|187857|32069|224027|182899|309805	3.56869	0.001965565725186219	6717
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Nitrosomonadales|f__Nitrosomonadaceae|g__Nitrosomonas|s__Nitrosomonas_europaea	2|1224|28216|32003|206379|914|915	3.48487	0.0019194010422632682	9855
k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobulbia|o__Desulfobulbales|f__Desulfobulbaceae|g__Desulfobulbus|s__Desulfobulbus_oralis	2|200940|3031451|3024411|213121|893|1986146	2.90018	0.00159736167385569	8252
k__Archaea|p__Nanobdellota|c__Candidatus_Nanoarchaeia|o__Nanoarchaeales|f__Nanoarchaeaceae|g__Nanoarchaeum|s__Nanoarchaeum_equitans	2157|192989|2885752|1890940|1890941|193568|160232	2.89183	0.0015927660613652677	2030
k__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales|f__Thermoanaerobacteraceae|g__Thermoanaerobacter|s__Thermoanaerobacter_thermohydrosulfuricus	2|1239|186801|68295|186814|1754|1516	2.69366	0.0014836131717852058	10003
k__Bacteria|p__Chlorobiota|c__Chlorobiia|o__Chlorobiales|f__Chlorobiaceae|g__Chlorobium|s__Chlorobium_phaeovibrioides	2|1090|191410|191411|191412|1091|1094	2.35481	0.0012969846915112748	5633
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_gingivalis	2|976|200643|171549|171551|836|837	1.90573	0.001049636479191153	7210
k__Bacteria|p__Chlorobiota|c__Chlorobiia|o__Chlorobiales|f__Chlorobiaceae|g__Chlorobium|s__Chlorobium_limicola	2|1090|191410|191411|191412|1091|1092	1.73552	0.0009558932920505344	8094
k__Archaea|p__Thermoproteota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Ignicoccus|s__Ignicoccus_hospitalis	2157|28889|183924|114380|2272|54258|160233	1.68039	0.0009255279901176881	2414
k__Bacteria|p__Chloroflexota|c__Chloroflexia|o__Herpetosiphonales|f__Herpetosiphonaceae|g__Herpetosiphon|s__Herpetosiphon_aurantiacus	2|200795|32061|189772|189773|64|65	1.4625	0.0008055160311868297	14827
k__Bacteria|p__Planctomycetota|c__Planctomycetia|o__Pirellulales|f__Pirellulaceae|g__Rhodopirellula|s__Rhodopirellula_baltica	2|203682|203683|2691354|2691357|265488|265606	1.31188	0.0007225603744858903	18304
k__Archaea|p__Methanobacteriota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halobacterium|s__Halobacterium_salinarum	2157|28890|183963|2235|2236|2239|2242	1.22614	0.0006753345652967777	6435
k__Archaea|p__Thermoproteota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Ignicoccus|s__Ignicoccus_islandicus	2157|28889|183924|114380|2272|54258|54259	0.99576	0.0005484470466247478	2153
k__Archaea|p__Methanobacteriota|c__Methanococci|o__Methanococcales|f__Methanococcaceae|g__Methanococcus|s__Methanococcus_maripaludis	2157|28890|183939|2182|2183|2184|39152	0.80915	0.0004456615961638476	5323
k__Bacteria|p__Aquificota|c__Aquificia|o__Aquificales|f__Aquificaceae|g__Hydrogenobaculum|s__Hydrogenobaculum_sp_Y04AAS1	2|200783|187857|32069|64898|168657|380749	0.78527	0.00043251411281253384	3618
