Feature	PathwayID	Description	Subjects	MedianLog2RNAoverDNA	MeanLog2RNAoverDNA	CILow	CIHigh	PValue	QValue	BH05
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation	GLUCOSE1PMETAB-PWY	glucose and glucose-1-phosphate degradation	77	0.6456581175272351	0.8380577738600573	0.43616515315463605	0.9652788303851227	7.093791029222027e-05	0.00010113445318688159	True
GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronide and D-glucuronate degradation	GLUCUROCAT-PWY	superpathway of β-D-glucuronide and D-glucuronate degradation	102	-0.3856520100498597	-0.334663637989795	-0.5654083697312232	-0.18296664645248545	6.49309746370601e-05	9.383860033164164e-05	True
GLUTORN-PWY: L-ornithine biosynthesis	GLUTORN-PWY	L-ornithine biosynthesis	98	-0.5940135052913011	-0.5010366791319992	-0.9822031426054683	-0.3208727584911991	4.360165108095725e-05	6.433530334323063e-05	True
GLYCOCAT-PWY: glycogen degradation I (bacterial)	GLYCOCAT-PWY	glycogen degradation I (bacterial)	79	-0.36915062160419887	-0.4158143219364617	-0.8043584163437355	-0.20669229751117948	0.005505667146728268	0.0070837000021739096	True
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)	GLYCOGENSYNTH-PWY	glycogen biosynthesis I (from ADP-D-Glucose)	101	-0.2756262948268335	-0.39783423203451473	-0.5691997618589159	-0.10354524587752889	0.0002453008344074952	0.0003450565070665432	True
GLYCOLYSIS-E-D: superpathway of glycolysis and Entner-Doudoroff	GLYCOLYSIS-E-D	superpathway of glycolysis and Entner-Doudoroff	95	0.3342313209947409	0.4323536951409895	0.11921963704196253	0.6147656944434163	0.0017096507728467916	0.002283141221966285	True
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)	GLYCOLYSIS	glycolysis I (from glucose 6-phosphate)	103	2.0267910287841864	2.0424440706272553	1.8634976510984154	2.2078644889783083	1.7210293244204236e-18	2.4008567814757344e-17	True
GLYOXYLATE-BYPASS: glyoxylate cycle	GLYOXYLATE-BYPASS	glyoxylate cycle	76	1.654382354082159	1.666651177197212	0.9001538150481424	2.10633858292486	1.0541029052193865e-07	1.8848789237397504e-07	True
HEME-BIOSYNTHESIS-II: heme biosynthesis I (aerobic)	HEME-BIOSYNTHESIS-II	heme biosynthesis I (aerobic)	81	-0.37075856148695757	-0.12457166025028324	-0.6826654417621677	0.16592434942121767	0.14247685420001305	0.16250062830379866	False
HEMESYN2-PWY: heme biosynthesis II (anaerobic)	HEMESYN2-PWY	heme biosynthesis II (anaerobic)	94	-0.41258474084291785	-0.3571016654267753	-0.6947070912264227	-0.15423802932154648	0.0019494802573022626	0.002570877089317359	True
HEXITOLDEGSUPER-PWY: superpathway of hexitol degradation (bacteria)	HEXITOLDEGSUPER-PWY	superpathway of hexitol degradation (bacteria)	85	-0.3485101279859866	-0.38581381501593376	-0.6607260278395908	-0.16340508930174472	0.0005684104640602664	0.0007890434731362909	True
HISDEG-PWY: L-histidine degradation I	HISDEG-PWY	L-histidine degradation I	99	1.958935482839241	1.8172715946815257	1.5255025353246396	2.394282291249528	2.16809924127056e-14	7.147952186063877e-14	True
HISTSYN-PWY: L-histidine biosynthesis	HISTSYN-PWY	L-histidine biosynthesis	102	-0.7559860045970088	-0.8954587840898289	-0.9338825104966801	-0.5973603402353113	5.737864473999431e-17	3.905449690367355e-16	True
HOMOSER-METSYN-PWY: L-methionine biosynthesis I	HOMOSER-METSYN-PWY	L-methionine biosynthesis I	92	-1.5451546271865353	-1.5551507530269024	-2.037701330090633	-1.1466350606233509	3.449706850166778e-15	1.3479410099725745e-14	True
HSERMETANA-PWY: L-methionine biosynthesis III	HSERMETANA-PWY	L-methionine biosynthesis III	98	-1.1239429627568263	-1.221231924038049	-1.3140047202664338	-0.9018989739662697	1.4343218269911463e-16	8.022120118521701e-16	True
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)	103	-0.6835428308018587	-0.6131985911784629	-0.76257231662832	-0.5664133926306605	1.1690957409572764e-15	5.36259133352142e-15	True
LACTOSECAT-PWY: lactose and galactose degradation I	LACTOSECAT-PWY	lactose and galactose degradation I	59	0.2020980586039674	0.39830603261202924	-0.192607124259131	0.9628320022350273	0.15153932384199265	0.1709882210195746	False
