contigIdx	contigIdxMate	AvgCoverage
379	379	4.31646
379	9469	0.3198
379	15635	0.249722
380	380	2.69766
381	381	3.34494
382	382	2.24436
383	383	4.56826
383	6764	0.0246711
383	12046	0.0975329
384	384	2.40982
385	385	2.14521
385	7778	0.578896
386	386	6.67765
386	5271	0.163735
386	11998	0.0944995
386	17179	0.0239847
387	387	4.86281
387	705	0.183636
387	5997	0.0461397
388	388	3.89667
388	4511	0.0827778
389	389	3.21548
389	2362	0.29383
389	13342	0.434868
390	390	1.81164
390	9060	0.0658979
390	9231	0.0823723
391	391	3.60698
391	2744	0.285714
392	392	8.1277
392	2005	0.011839
392	4493	0.0351223
392	11020	0.105841
392	13052	0.011839
392	17179	0.0116811
393	393	4.70703
393	17218	0.238868
394	394	15.1666
394	1196	0.0377471
394	1518	0.00602256
394	3142	0.00631945
394	3287	0.0317245
394	3440	0.00610739
394	5019	0.00534396
394	5777	0.0253626
394	6144	0.00619221
394	7618	0.0571295
394	7779	0.1431
394	8371	0.0247264
394	8544	0.0190432
394	8677	0.0254475
394	11198	0.0317245
394	13044	0.0441513
394	14432	0.0505132
394	16675	0.0381288
394	17076	0.00636186
394	17372	0.063449
394	18289	0.0315973
395	395	3.26096
396	396	3.10236
396	5807	0.262467
397	397	4.22942
397	11424	0.0709555
397	12989	0.0690634
398	398	3.48708
399	399	5.52697
399	3486	0.304652
399	3629	0.123096
399	5818	0.0617538
400	400	2.31529
401	401	9.7321
401	814	0.0232156
401	1842	0.0126284
401	2531	0.00257759
401	3333	0.00752517
401	4160	0.00259489
401	4692	0.0206207
401	5409	0.00247379
401	5622	0.0205515
401	6228	0.0102585
401	6439	0.00259489
401	7066	0.00775006
401	7849	0.00252569
401	7857	0.00773276
401	8392	0.0126803
401	8483	0.0335259
401	8680	0.0177317
401	8722	0.00252569
401	10334	0.010293
401	10963	0.0102757
401	11160	0.00257759
401	11414	0.0231637
401	11574	0.00518977
401	11907	0.0127841
401	12876	0.00775006
401	14069	0.00518977
401	14297	0.0023527
401	16446	0.0179393
401	16622	0.00259489
401	16680	0.0181123
402	402	4.07316
402	2837	0.185989
402	16587	0.0929944
403	403	3.43528
403	813	0.143816
403	11430	0.143816
404	404	2.35028
405	405	2.03396
406	406	4.3588
406	9496	0.224719
407	407	3.62384
407	9284	0.104925
407	12578	0.104211
408	408	4.59778
408	7019	0.201613
408	8299	0.140457
409	409	6.6249
409	2658	0.192308
409	13693	0.116376
410	410	2.12323
411	411	5.26158
411	3880	0.0390422
411	14177	0.194951
412	412	2.46933
413	413	2.68065
413	10220	0.474839
413	17730	0.096129
414	414	1.72222
415	415	3.10793
416	416	15.6995
416	5263	0.585324
416	10727	0.130265
416	13516	0.0651324
417	417	1.81707
418	418	3.56376
418	845	0.334825
418	11806	0.223714
419	419	5.0918
419	7035	0.0778008
419	9451	0.537863
420	420	1.73116
421	421	7.18357
421	1372	0.0658762
421	13967	0.0656566
422	422	6.98034
422	6758	0.0981485
422	9388	0.0245781
422	11405	0.0368671
423	423	2.92334
423	8332	0.705681
424	424	3.39048
424	15787	0.0642949
425	425	2.92969
426	426	8.72994
426	1078	0.0114112
426	5661	0.0114112
427	427	3.09167
427	5860	0.0643455
428	428	3.93009
429	429	2.89484
429	17455	0.584226
430	430	2.70077
431	431	2.93943
432	432	2.4755
432	2538	0.0353643
432	6194	0.0639114
