hotspring	ProcessID	Element	Process	RecoveredMAGCarrierFraction	RecruitmentRate	Samples
AB31	three_hp	Carbon	3-hydroxypropionate bicycle	0.09483550481259484	0.104125	4
AB31	wood_ljungdahl	Carbon	Wood-Ljungdahl fixation	0.08130750151758132	0.104125	4
AB32	anammox	Nitrogen	Anaerobic ammonium oxidation	0.0	0.0846475	4
AB32	cbb	Carbon	Calvin-Benson-Bassham fixation	0.1146184037613886	0.0846475	4
AB32	cummo	Carbon/Nitrogen	Copper membrane monooxygenase	0.0047070126905569	0.0846475	4
AB32	dnra_nitrite	Nitrogen	Dissimilatory nitrite reduction to ammonium	0.13160020592208033	0.0846475	4
AB32	dsr	Sulfur	DsrAB sulfite/sulfide axis	0.02576960729532416	0.0846475	4
AB32	hao	Nitrogen	Hydroxylamine oxidation	0.1090881604179176	0.0846475	4
AB32	mcr	Carbon	Methyl-coenzyme M reductase	0.0	0.0846475	4
AB32	n2o_to_n2	Nitrogen	Nitrous oxide reduction to dinitrogen	0.28377253578944805	0.0846475	4
AB32	n_fix	Nitrogen	Nitrogen fixation	0.03227467099097721	0.0846475	4
AB32	nar_nxr	Nitrogen	NarGH/NxrAB oxidoreductase family	0.01837105400945265	0.0846475	4
AB32	nitrate_to_nitrite	Nitrogen	Respiratory nitrate reduction	0.012694521460615161	0.0846475	4
AB32	nitrite_to_no	Nitrogen	Nitrite reduction to nitric oxide	0.14587258199877867	0.0846475	4
AB32	no_to_n2o	Nitrogen	Nitric oxide reduction to nitrous oxide	0.024927930346293283	0.0846475	4
AB32	phs	Sulfur	Thiosulfate/polysulfide reduction	0.0	0.0846475	4
AB32	rtca	Carbon	Reverse TCA fixation	0.010215472216615624	0.0846475	4
AB32	sox	Sulfur	Thiosulfate oxidation by Sox	0.013996041460346734	0.0846475	4
AB32	sulfate_to_sulfite	Sulfur	Dissimilatory sulfate reduction to sulfite	0.01984756584103398	0.0846475	4
AB32	sulfur_reduction	Sulfur	Elemental sulfur reduction	0.0	0.0846475	4
AB32	three_hp	Carbon	3-hydroxypropionate bicycle	0.049951685241961113	0.0846475	4
AB32	wood_ljungdahl	Carbon	Wood-Ljungdahl fixation	0.11321228016647347	0.0846475	4
AB35	anammox	Nitrogen	Anaerobic ammonium oxidation	0.0	0.063395	5
AB35	cbb	Carbon	Calvin-Benson-Bassham fixation	0.21511621511621512	0.063395	5
AB35	cummo	Carbon/Nitrogen	Copper membrane monooxygenase	0.0	0.063395	5
AB35	dnra_nitrite	Nitrogen	Dissimilatory nitrite reduction to ammonium	0.12054087945912052	0.063395	5
AB35	dsr	Sulfur	DsrAB sulfite/sulfide axis	0.10344431033293103	0.063395	5
AB35	hao	Nitrogen	Hydroxylamine oxidation	0.10051830155490467	0.063395	5
AB35	mcr	Carbon	Methyl-coenzyme M reductase	0.0	0.063395	5
AB35	n2o_to_n2	Nitrogen	Nitrous oxide reduction to dinitrogen	0.11527711527711529	0.063395	5
AB35	n_fix	Nitrogen	Nitrogen fixation	0.13150239450718357	0.063395	5
AB35	nar_nxr	Nitrogen	NarGH/NxrAB oxidoreductase family	0.05034594965405034	0.063395	5
AB35	nitrate_to_nitrite	Nitrogen	Respiratory nitrate reduction	0.06281406281406281	0.063395	5
AB35	nitrite_to_no	Nitrogen	Nitrite reduction to nitric oxide	0.02552402552402552	0.063395	5
AB35	no_to_n2o	Nitrogen	Nitric oxide reduction to nitrous oxide	0.025073075219225662	0.063395	5
AB35	phs	Sulfur	Thiosulfate/polysulfide reduction	0.0	0.063395	5
AB35	rtca	Carbon	Reverse TCA fixation	0.0	0.063395	5
AB35	sox	Sulfur	Thiosulfate oxidation by Sox	0.0602020602020602	0.063395	5
AB35	sulfate_to_sulfite	Sulfur	Dissimilatory sulfate reduction to sulfite	0.09057127171381515	0.063395	5
AB35	sulfur_reduction	Sulfur	Elemental sulfur reduction	0.0	0.063395	5
AB35	three_hp	Carbon	3-hydroxypropionate bicycle	0.009051045255226275	0.063395	5
AB35	wood_ljungdahl	Carbon	Wood-Ljungdahl fixation	0.05187915563746692	0.063395	5
AM01	anammox	Nitrogen	Anaerobic ammonium oxidation	0.0	0.13864	33
AM01	cbb	Carbon	Calvin-Benson-Bassham fixation	0.23423789185897329	0.13864	33
AM01	cummo	Carbon/Nitrogen	Copper membrane monooxygenase	0.001126002252004504	0.13864	33
AM01	dnra_nitrite	Nitrogen	Dissimilatory nitrite reduction to ammonium	0.11531580721065048	0.13864	33
