Category	CheckID	Status	Detail
branch	pluspf8-mock-c000-h2-input-conservation	PASS	85224+14767
branch	pluspf8-mock-c000-h2-output-rows	PASS	99991
branch	pluspf8-mock-c000-h2-output-report-parity	PASS	85224;14767
branch	pluspf8-mock-c000-h2-paired-structure	PASS	99991;99991
branch	pluspf8-mock-c000-h2-bracken-rank	PASS	63
branch	pluspf8-mock-c000-h2-bracken-outcome	PASS	estimated
branch	pluspf8-human-c000-h2-input-conservation	PASS	12832+7168
branch	pluspf8-human-c000-h2-output-rows	PASS	20000
branch	pluspf8-human-c000-h2-output-report-parity	PASS	12832;7168
branch	pluspf8-human-c000-h2-paired-structure	PASS	20000;20000
branch	pluspf8-human-c000-h2-bracken-rank	PASS	1
branch	pluspf8-human-c000-h2-bracken-outcome	PASS	estimated
control	pluspf8-human-c000-h2-human-compatible-partition	PASS	5908+6922+2
branch	pluspf8-mock-c005-h2-input-conservation	PASS	55291+44700
branch	pluspf8-mock-c005-h2-output-rows	PASS	99991
branch	pluspf8-mock-c005-h2-output-report-parity	PASS	55291;44700
branch	pluspf8-mock-c005-h2-paired-structure	PASS	99991;99991
branch	pluspf8-mock-c005-h2-bracken-rank	PASS	50
branch	pluspf8-mock-c005-h2-bracken-outcome	PASS	estimated
branch	pluspf8-human-c005-h2-input-conservation	PASS	8502+11498
branch	pluspf8-human-c005-h2-output-rows	PASS	20000
branch	pluspf8-human-c005-h2-output-report-parity	PASS	8502;11498
branch	pluspf8-human-c005-h2-paired-structure	PASS	20000;20000
branch	pluspf8-human-c005-h2-bracken-rank	PASS	1
branch	pluspf8-human-c005-h2-bracken-outcome	PASS	estimated
control	pluspf8-human-c005-h2-human-compatible-partition	PASS	42+8459+1
branch	pluspf8-mock-c010-h2-input-conservation	PASS	10867+89124
branch	pluspf8-mock-c010-h2-output-rows	PASS	99991
branch	pluspf8-mock-c010-h2-output-report-parity	PASS	10867;89124
branch	pluspf8-mock-c010-h2-paired-structure	PASS	99991;99991
branch	pluspf8-mock-c010-h2-bracken-rank	PASS	39
branch	pluspf8-mock-c010-h2-bracken-outcome	PASS	estimated
branch	pluspf8-human-c010-h2-input-conservation	PASS	740+19260
branch	pluspf8-human-c010-h2-output-rows	PASS	20000
branch	pluspf8-human-c010-h2-output-report-parity	PASS	740;19260
branch	pluspf8-human-c010-h2-paired-structure	PASS	20000;20000
branch	pluspf8-human-c010-h2-bracken-rank	PASS	1
branch	pluspf8-human-c010-h2-bracken-outcome	PASS	estimated
control	pluspf8-human-c010-h2-human-compatible-partition	PASS	13+727+0
branch	pluspf8-mock-c020-h2-input-conservation	PASS	28+99963
branch	pluspf8-mock-c020-h2-output-rows	PASS	99991
branch	pluspf8-mock-c020-h2-output-report-parity	PASS	28;99963
branch	pluspf8-mock-c020-h2-paired-structure	PASS	99991;99991
branch	pluspf8-mock-c020-h2-bracken-rank	PASS	0
branch	pluspf8-mock-c020-h2-bracken-outcome	PASS	no_eligible_species_above_threshold
branch	pluspf8-human-c020-h2-input-conservation	PASS	5+19995
branch	pluspf8-human-c020-h2-output-rows	PASS	20000
branch	pluspf8-human-c020-h2-output-report-parity	PASS	5;19995
branch	pluspf8-human-c020-h2-paired-structure	PASS	20000;20000
branch	pluspf8-human-c020-h2-bracken-rank	PASS	0
branch	pluspf8-human-c020-h2-bracken-outcome	PASS	no_eligible_species_above_threshold
control	pluspf8-human-c020-h2-human-compatible-partition	PASS	3+2+0
branch	pluspf8-mock-c050-h2-input-conservation	PASS	0+99991
branch	pluspf8-mock-c050-h2-output-rows	PASS	99991
branch	pluspf8-mock-c050-h2-output-report-parity	PASS	0;99991
branch	pluspf8-mock-c050-h2-paired-structure	PASS	99991;99991
branch	pluspf8-mock-c050-h2-bracken-rank	PASS	0
branch	pluspf8-mock-c050-h2-bracken-outcome	PASS	no_eligible_species_above_threshold
branch	pluspf8-human-c050-h2-input-conservation	PASS	0+20000
branch	pluspf8-human-c050-h2-output-rows	PASS	20000
branch	pluspf8-human-c050-h2-output-report-parity	PASS	0;20000
branch	pluspf8-human-c050-h2-paired-structure	PASS	20000;20000
branch	pluspf8-human-c050-h2-bracken-rank	PASS	0
branch	pluspf8-human-c050-h2-bracken-outcome	PASS	no_eligible_species_above_threshold
control	pluspf8-human-c050-h2-human-compatible-partition	PASS	0+0+0
branch	standard16-mock-c010-h1-input-conservation	PASS	65883+34108
branch	standard16-mock-c010-h1-output-rows	PASS	99991
branch	standard16-mock-c010-h1-output-report-parity	PASS	65883;34108
branch	standard16-mock-c010-h1-paired-structure	PASS	99991;99991
branch	standard16-mock-c010-h1-bracken-rank	PASS	49
branch	standard16-mock-c010-h1-bracken-outcome	PASS	estimated
branch	standard16-human-c010-h1-input-conservation	PASS	10728+9272
branch	standard16-human-c010-h1-output-rows	PASS	20000
branch	standard16-human-c010-h1-output-report-parity	PASS	10728;9272
branch	standard16-human-c010-h1-paired-structure	PASS	20000;20000
branch	standard16-human-c010-h1-bracken-rank	PASS	1
branch	standard16-human-c010-h1-bracken-outcome	PASS	estimated
control	standard16-human-c010-h1-human-compatible-partition	PASS	69+10658+1
branch	standard16-mock-c010-h3-input-conservation	PASS	65877+34114
branch	standard16-mock-c010-h3-output-rows	PASS	99991
branch	standard16-mock-c010-h3-output-report-parity	PASS	65877;34114
branch	standard16-mock-c010-h3-paired-structure	PASS	99991;99991
branch	standard16-mock-c010-h3-bracken-rank	PASS	49
branch	standard16-mock-c010-h3-bracken-outcome	PASS	estimated
branch	standard16-human-c010-h3-input-conservation	PASS	10728+9272
branch	standard16-human-c010-h3-output-rows	PASS	20000
