OuterTestCohort	Lambda	MeanInnerAUROC	SEInnerAUROC	Selected
JP	0.000199526231496888	0.698536212739618	0.0138947590217375	FALSE
JP	0.000158489319246111	0.697027458454497	0.013956154069923	FALSE
JP	0.000125892541179417	0.69559075887042	0.0144956711647186	FALSE
JP	0.0001	0.694912468968247	0.0145708968292014	FALSE
US	1	0.5	0	FALSE
US	0.794328234724281	0.5	0	FALSE
US	0.630957344480193	0.5	0	FALSE
US	0.501187233627272	0.5	0	FALSE
US	0.398107170553497	0.5	0	FALSE
US	0.316227766016838	0.5	0	FALSE
US	0.251188643150958	0.5	0	FALSE
US	0.199526231496888	0.707364516921718	0.0277586944959177	FALSE
US	0.158489319246111	0.74121366407545	0.0369197606429695	FALSE
US	0.125892541179417	0.742222422657838	0.0372770458193311	FALSE
US	0.1	0.739516279270716	0.0386603532102023	FALSE
US	0.0794328234724282	0.775435881758948	0.0407736023619319	FALSE
US	0.0630957344480193	0.780287339766775	0.0341265797070909	FALSE
US	0.0501187233627272	0.781497304519703	0.0292671458705378	FALSE
US	0.0398107170553497	0.783997680168406	0.0260276097633776	FALSE
US	0.0316227766016838	0.788361228726674	0.0234808809037897	FALSE
US	0.0251188643150958	0.790381612403172	0.0216190211097027	FALSE
US	0.0199526231496888	0.794026067729217	0.0214308603684025	FALSE
US	0.0158489319246111	0.794270851318577	0.0215988240839678	FALSE
US	0.0125892541179417	0.79007086615287	0.0241065000050366	FALSE
US	0.01	0.782474056528772	0.024936593594364	FALSE
US	0.00794328234724282	0.774876417517807	0.0255826415824495	FALSE
US	0.00630957344480194	0.768923530758925	0.0238016806091541	FALSE
US	0.00501187233627273	0.757125412848435	0.0221864144027191	FALSE
US	0.00398107170553497	0.744652894995559	0.0210462820306823	FALSE
US	0.00316227766016838	0.732254271273447	0.0196712132778133	FALSE
US	0.00251188643150958	0.721437751192047	0.0186881089104069	FALSE
US	0.00199526231496888	0.708382001333122	0.0180406474136229	FALSE
US	0.00158489319246111	0.699077243077092	0.0180094900458139	FALSE
US	0.00125892541179417	0.692913213343083	0.0169400426072407	FALSE
US	0.001	0.691096387476279	0.0166460328187145	FALSE
US	0.000794328234724282	0.68643074971025	0.014905752209571	FALSE
US	0.000630957344480194	0.68208259119976	0.0142394947017726	FALSE
US	0.000501187233627273	0.678379321900625	0.0133903509853238	FALSE
US	0.000398107170553497	0.676065126971051	0.0135075450154865	FALSE
US	0.000316227766016838	0.673917125780729	0.0137077721029483	FALSE
US	0.000251188643150958	0.673437561403906	0.0141600829559644	FALSE
US	0.000199526231496888	0.670970310190964	0.0143980659424751	FALSE
US	0.000158489319246111	0.669410020398159	0.014325370464332	FALSE
US	0.000125892541179417	0.666563688698305	0.0151024306705201	FALSE
US	0.0001	0.663342178987505	0.0150852692911934	FALSE
