Cohort	Threshold	FPR	TPR
AT	0.404619766246223	0.327868852459016	0.739130434782609
AT	0.40449191973383	0.327868852459016	0.760869565217391
AT	0.404065004772678	0.344262295081967	0.760869565217391
AT	0.395868311199323	0.360655737704918	0.760869565217391
AT	0.393939295318822	0.377049180327869	0.760869565217391
AT	0.393927783737305	0.377049180327869	0.782608695652174
AT	0.39344444207129	0.377049180327869	0.804347826086957
AT	0.392909855720421	0.39344262295082	0.804347826086957
AT	0.387960964857761	0.409836065573771	0.804347826086957
AT	0.384344220519938	0.409836065573771	0.826086956521739
AT	0.383695666554954	0.426229508196721	0.826086956521739
AT	0.380507988405805	0.426229508196721	0.847826086956522
AT	0.374577923670817	0.442622950819672	0.847826086956522
AT	0.374552011391908	0.459016393442623	0.847826086956522
AT	0.373556805264892	0.475409836065574	0.847826086956522
AT	0.370061805452614	0.491803278688525	0.847826086956522
AT	0.369134619492039	0.491803278688525	0.869565217391304
AT	0.364564244218562	0.508196721311475	0.869565217391304
AT	0.363602629988961	0.524590163934426	0.869565217391304
AT	0.363483832000011	0.540983606557377	0.869565217391304
AT	0.363163594385736	0.540983606557377	0.891304347826087
AT	0.36284506797579	0.540983606557377	0.91304347826087
AT	0.358539449312749	0.557377049180328	0.91304347826087
AT	0.358321023566488	0.573770491803279	0.91304347826087
AT	0.357389629502547	0.590163934426229	0.91304347826087
AT	0.356086888935503	0.60655737704918	0.91304347826087
AT	0.354961690133653	0.622950819672131	0.91304347826087
AT	0.353750484394485	0.639344262295082	0.91304347826087
AT	0.351270784654796	0.655737704918033	0.91304347826087
AT	0.349454897893628	0.672131147540984	0.91304347826087
AT	0.342508231317164	0.688524590163934	0.91304347826087
AT	0.339798212627529	0.704918032786885	0.91304347826087
AT	0.339688680599686	0.721311475409836	0.91304347826087
AT	0.338271671245524	0.737704918032787	0.91304347826087
AT	0.337614163500419	0.737704918032787	0.934782608695652
AT	0.337536036563683	0.754098360655738	0.934782608695652
AT	0.334415579964616	0.770491803278688	0.934782608695652
AT	0.333010059651876	0.786885245901639	0.934782608695652
AT	0.33169061246902	0.786885245901639	0.956521739130435
AT	0.330958615694699	0.80327868852459	0.956521739130435
AT	0.330519261285162	0.80327868852459	0.978260869565217
AT	0.328896354091907	0.819672131147541	0.978260869565217
AT	0.326805083141694	0.836065573770492	0.978260869565217
AT	0.325216872280299	0.852459016393443	0.978260869565217
AT	0.323676704465741	0.868852459016393	0.978260869565217
AT	0.321766403897258	0.885245901639344	0.978260869565217
AT	0.321118186406326	0.901639344262295	0.978260869565217
AT	0.320054836915212	0.918032786885246	0.978260869565217
AT	0.318131740366127	0.934426229508197	0.978260869565217
AT	0.316514715621319	0.950819672131147	0.978260869565217
AT	0.3155390939082	0.967213114754098	0.978260869565217
AT	0.313046881709051	0.983606557377049	0.978260869565217
AT	0.312836859485303	1	0.978260869565217
AT	0.293217269539087	1	1
AT	-Inf	1	1
CN	Inf	0	0
CN	0.970713750525625	0	0.0135135135135135
CN	0.958464586759619	0.0185185185185185	0.0135135135135135
CN	0.930197152222589	0.0185185185185185	0.027027027027027
CN	0.925506762060184	0.0185185185185185	0.0405405405405405
CN	0.905345378431752	0.0185185185185185	0.0540540540540541
CN	0.898345576090575	0.0185185185185185	0.0675675675675676
CN	0.893730773936759	0.0185185185185185	0.0810810810810811
CN	0.884186174304667	0.0185185185185185	0.0945945945945946
CN	0.883925709245911	0.0185185185185185	0.108108108108108
CN	0.882717033636892	0.0185185185185185	0.121621621621622
CN	0.878864933946352	0.0185185185185185	0.135135135135135
CN	0.878341629123851	0.0185185185185185	0.148648648648649
CN	0.875647337601615	0.0185185185185185	0.162162162162162
CN	0.86984911070036	0.0185185185185185	0.175675675675676
CN	0.866643840713897	0.0185185185185185	0.189189189189189
CN	0.866131104523476	0.0185185185185185	0.202702702702703
CN	0.864529371453644	0.0185185185185185	0.216216216216216
CN	0.864392704537477	0.0185185185185185	0.22972972972973
CN	0.841126755709979	0.0185185185185185	0.243243243243243
CN	0.824183192074574	0.0185185185185185	0.256756756756757
