sample_id	SubjectID	Compound	CompoundName	reaction	CommunityScaledFlux	AbsoluteFlux	NetDirection
MV_FEM2_t1Q14	MV_FEM2	ppi	ppi	EX_ppi_m	0.0002226697386408	0.0002226697386408	Export
MV_FEM2_t1Q14	MV_FEM2	no2	no2	EX_no2_m	-0.0001721957540791	0.0001721957540791	Import
MV_FEM2_t1Q14	MV_FEM2	pac	pac	EX_pac_m	0.0001693154993663	0.0001693154993663	Export
MV_FEM2_t1Q14	MV_FEM2	dextran40	dextran40	EX_dextran40_m	-0.0001427221115861	0.0001427221115861	Import
MV_FEM2_t1Q14	MV_FEM2	4abut	4abut	EX_4abut_m	0.0001182955556879	0.0001182955556879	Export
MV_FEM2_t1Q14	MV_FEM2	arab_D	arab D	EX_arab_D_m	-0.0001079681174551	0.0001079681174551	Import
MV_FEM2_t1Q14	MV_FEM2	hdca	hdca	EX_hdca_m	-5.4306852698943896e-05	5.4306852698943896e-05	Import
MV_FEM2_t1Q14	MV_FEM2	amylose300	amylose300	EX_amylose300_m	-4.7e-05	4.7e-05	Import
MV_FEM2_t1Q14	MV_FEM2	dgsn	dgsn	EX_dgsn_m	-4.6762336188296505e-05	4.6762336188296505e-05	Import
MV_FEM2_t1Q14	MV_FEM2	glcur	glcur	EX_glcur_m	2.3354695305656008e-05	2.3354695305656008e-05	Export
MV_FEM2_t1Q14	MV_FEM2	4abz	4abz	EX_4abz_m	-1.911048177282826e-05	1.911048177282826e-05	Import
MV_FEM2_t1Q14	MV_FEM2	amylopect900	amylopect900	EX_amylopect900_m	-1.57e-05	1.57e-05	Import
MV_FEM2_t1Q14	MV_FEM2	12dgr180	12dgr180	EX_12dgr180_m	-1.4120085240819605e-05	1.4120085240819605e-05	Import
MV_FEM2_t1Q14	MV_FEM2	mqn7	mqn7	EX_mqn7_m	-1.3224152560857648e-05	1.3224152560857648e-05	Import
MV_FEM2_t1Q14	MV_FEM2	sheme	sheme	EX_sheme_m	-1.2000591303477728e-05	1.2000591303477728e-05	Import
MV_FEM2_t1Q14	MV_FEM2	pullulan1200	pullulan1200	EX_pullulan1200_m	-1.18e-05	1.18e-05	Import
MV_FEM2_t1Q14	MV_FEM2	starch1200	starch1200	EX_starch1200_m	-1.18e-05	1.18e-05	Import
MV_FEM2_t1Q14	MV_FEM2	uri	uri	EX_uri_m	1.1120520179207451e-05	1.1120520179207451e-05	Export
MV_FEM2_t1Q14	MV_FEM2	dcyt	dcyt	EX_dcyt_m	-1.0664404273594685e-05	1.0664404273594685e-05	Import
MV_FEM2_t1Q14	MV_FEM2	dad_2	dad 2	EX_dad_2_m	-9.181916855284596e-06	9.181916855284596e-06	Import
MV_FEM2_t1Q14	MV_FEM2	man	man	EX_man_m	-7.014853719791863e-06	7.014853719791863e-06	Import
MV_FEM2_t1Q14	MV_FEM2	4hbz	4hbz	EX_4hbz_m	-3.7262892809955215e-06	3.7262892809955215e-06	Import
MV_FEM2_t1Q14	MV_FEM2	tsul	tsul	EX_tsul_m	2.5873079979060566e-06	2.5873079979060566e-06	Export
MV_FEM2_t1Q14	MV_FEM2	arabinogal	arabinogal	EX_arabinogal_m	-2.482806732187725e-06	2.482806732187725e-06	Import
MV_FEM2_t1Q14	MV_FEM2	gthox	gthox	EX_gthox_m	-1.8065260107953285e-06	1.8065260107953285e-06	Import
MV_FEM3_t1Q14	MV_FEM3	h2o	h2o	EX_h2o_m	8.978886136974682	8.978886136974682	Export
MV_FEM3_t1Q14	MV_FEM3	ac	Acetate	EX_ac_m	3.5593156316898247	3.5593156316898247	Export
MV_FEM3_t1Q14	MV_FEM3	succ	Succinate	EX_succ_m	2.2727864944728613	2.2727864944728613	Export
MV_FEM3_t1Q14	MV_FEM3	for	Formate	EX_for_m	1.9682275802671	1.9682275802671	Export
MV_FEM3_t1Q14	MV_FEM3	h2	Hydrogen	EX_h2_m	1.01664391749024	1.01664391749024	Export
MV_FEM3_t1Q14	MV_FEM3	ch4	ch4	EX_ch4_m	0.3450062627089462	0.3450062627089462	Export
MV_FEM3_t1Q14	MV_FEM3	strch1	strch1	EX_strch1_m	-0.2330015922035069	0.2330015922035069	Import
MV_FEM3_t1Q14	MV_FEM3	pac	pac	EX_pac_m	0.1345363441664804	0.1345363441664804	Export
MV_FEM3_t1Q14	MV_FEM3	glyleu	glyleu	EX_glyleu_m	-0.1132568205000007	0.1132568205000007	Import
MV_FEM3_t1Q14	MV_FEM3	2obut	2obut	EX_2obut_m	-0.1	0.1	Import
MV_FEM3_t1Q14	MV_FEM3	acgam	acgam	EX_acgam_m	-0.1	0.1	Import
MV_FEM3_t1Q14	MV_FEM3	ala_L	ala L	EX_ala_L_m	-0.1	0.1	Import
MV_FEM3_t1Q14	MV_FEM3	cit	cit	EX_cit_m	-0.1	0.1	Import
MV_FEM3_t1Q14	MV_FEM3	cys_L	cys L	EX_cys_L_m	-0.1	0.1	Import
